Country,State,Year,AverageTemperature
Australia,Australian Capital Territory,1900,11.66675
Australia,Australian Capital Territory,1901,11.491666666666667
Australia,Australian Capital Territory,1902,11.555749999999998
Australia,Australian Capital Territory,1903,11.461999999999998
Australia,Australian Capital Territory,1904,11.212916666666667
Australia,Australian Capital Territory,1905,11.082500000000001
Australia,Australian Capital Territory,1906,11.491583333333333
Australia,Australian Capital Territory,1907,11.313166666666667
Australia,Australian Capital Territory,1908,11.545583333333333
Australia,Australian Capital Territory,1909,10.958333333333334
Australia,Australian Capital Territory,1910,11.649916666666668
Australia,Australian Capital Territory,1911,11.368166666666667
Australia,Australian Capital Territory,1912,11.669333333333332
Australia,Australian Capital Territory,1913,11.72075
Australia,Australian Capital Territory,1914,12.601666666666667
Australia,Australian Capital Territory,1915,11.759916666666667
Australia,Australian Capital Territory,1916,11.27825
Australia,Australian Capital Territory,1917,10.999333333333334
Australia,Australian Capital Territory,1918,11.176833333333333
Australia,Australian Capital Territory,1919,12.21125
Australia,Australian Capital Territory,1920,11.360416666666666
Australia,Australian Capital Territory,1921,11.646499999999998
Australia,Australian Capital Territory,1922,11.653416666666667
Australia,Australian Capital Territory,1923,11.688916666666666
Australia,Australian Capital Territory,1924,10.881916666666667
Australia,Australian Capital Territory,1925,11.059166666666668
Australia,Australian Capital Territory,1926,11.678333333333333
Australia,Australian Capital Territory,1927,11.161166666666666
Australia,Australian Capital Territory,1928,11.818
Australia,Australian Capital Territory,1929,11.066416666666667
Australia,Australian Capital Territory,1930,11.8725
Australia,Australian Capital Territory,1931,11.312
Australia,Australian Capital Territory,1932,11.447000000000001
Australia,Australian Capital Territory,1933,11.3485
Australia,Australian Capital Territory,1934,11.638166666666665
Australia,Australian Capital Territory,1935,11.011333333333333
Australia,Australian Capital Territory,1936,11.262
Australia,Australian Capital Territory,1937,11.593666666666666
Australia,Australian Capital Territory,1938,12.053416666666665
Australia,Australian Capital Territory,1939,11.951166666666666
Australia,Australian Capital Territory,1940,12.005249999999998
Australia,Australian Capital Territory,1941,11.370750000000001
Australia,Australian Capital Territory,1942,11.911833333333334
Australia,Australian Capital Territory,1943,10.904666666666666
Australia,Australian Capital Territory,1944,11.469499999999998
Australia,Australian Capital Territory,1945,11.3705
Australia,Australian Capital Territory,1946,11.464583333333332
Australia,Australian Capital Territory,1947,11.618333333333332
Australia,Australian Capital Territory,1948,10.948500000000001
Australia,Australian Capital Territory,1949,11.051499999999999
Australia,Australian Capital Territory,1950,11.822416666666667
Australia,Australian Capital Territory,1951,11.490583333333333
Australia,Australian Capital Territory,1952,11.389333333333333
Australia,Australian Capital Territory,1953,11.173333333333332
Australia,Australian Capital Territory,1954,11.52675
Australia,Australian Capital Territory,1955,11.511916666666666
Australia,Australian Capital Territory,1956,11.049833333333332
Australia,Australian Capital Territory,1957,11.545583333333333
Australia,Australian Capital Territory,1958,11.712666666666665
Australia,Australian Capital Territory,1959,11.941333333333333
Australia,Australian Capital Territory,1960,11.38975
Australia,Australian Capital Territory,1961,11.773666666666665
Australia,Australian Capital Territory,1962,11.357166666666666
Australia,Australian Capital Territory,1963,11.681
Australia,Australian Capital Territory,1964,11.243
Australia,Australian Capital Territory,1965,11.62225
Australia,Australian Capital Territory,1966,11.055416666666666
Australia,Australian Capital Territory,1967,11.609916666666665
Australia,Australian Capital Territory,1968,11.874666666666668
Australia,Australian Capital Territory,1969,11.721499999999999
Australia,Australian Capital Territory,1970,11.108416666666665
Australia,Australian Capital Territory,1971,11.255583333333334
Australia,Australian Capital Territory,1972,11.707
Australia,Australian Capital Territory,1973,12.43425
Australia,Australian Capital Territory,1974,11.632833333333332
Australia,Australian Capital Territory,1975,11.977833333333331
Australia,Australian Capital Territory,1976,11.412833333333333
Australia,Australian Capital Territory,1977,11.814
Australia,Australian Capital Territory,1978,11.768166666666666
Australia,Australian Capital Territory,1979,12.167166666666667
Australia,Australian Capital Territory,1980,12.502166666666668
Australia,Australian Capital Territory,1981,12.296333333333331
Australia,Australian Capital Territory,1982,12.22475
Australia,Australian Capital Territory,1983,12.1785
Australia,Australian Capital Territory,1984,11.26675
Australia,Australian Capital Territory,1985,11.736416666666665
Australia,Australian Capital Territory,1986,11.516666666666666
Australia,Australian Capital Territory,1987,11.801416666666666
Australia,Australian Capital Territory,1988,12.623083333333332
Australia,Australian Capital Territory,1989,11.917666666666667
Australia,Australian Capital Territory,1990,12.200833333333334
Australia,Australian Capital Territory,1991,12.324416666666666
Australia,Australian Capital Territory,1992,11.296999999999999
Australia,Australian Capital Territory,1993,11.940916666666666
Australia,Australian Capital Territory,1994,11.710416666666667
Australia,Australian Capital Territory,1995,11.494
Australia,Australian Capital Territory,1996,11.391333333333334
Australia,Australian Capital Territory,1997,12.230583333333334
Australia,Australian Capital Territory,1998,12.558916666666667
Australia,Australian Capital Territory,1999,12.184583333333334
Australia,Australian Capital Territory,2000,12.178333333333333
Australia,Australian Capital Territory,2001,12.379583333333334
Australia,Australian Capital Territory,2002,12.40475
Australia,Australian Capital Territory,2003,12.323500000000001
Australia,Australian Capital Territory,2004,12.4585
Australia,Australian Capital Territory,2005,12.588000000000001
Australia,Australian Capital Territory,2006,12.613583333333333
Australia,Australian Capital Territory,2007,12.924916666666666
Australia,Australian Capital Territory,2008,12.093583333333333
Australia,Australian Capital Territory,2009,12.971416666666665
Australia,Australian Capital Territory,2010,12.467083333333333
Australia,Australian Capital Territory,2011,12.251666666666665
Australia,Australian Capital Territory,2012,11.886166666666666
Australia,Australian Capital Territory,2013,12.288875
Australia,New South Wales,1900,17.40908333333333
Australia,New South Wales,1901,17.470083333333335
Australia,New South Wales,1902,17.533166666666666
Australia,New South Wales,1903,17.013916666666667
Australia,New South Wales,1904,16.82133333333333
Australia,New South Wales,1905,16.634249999999998
Australia,New South Wales,1906,17.301833333333335
Australia,New South Wales,1907,16.990333333333336
Australia,New South Wales,1908,16.995
Australia,New South Wales,1909,16.43975
Australia,New South Wales,1910,17.085333333333335
Australia,New South Wales,1911,16.727333333333334
Australia,New South Wales,1912,17.335
Australia,New South Wales,1913,17.07616666666667
Australia,New South Wales,1914,18.448333333333334
Australia,New South Wales,1915,17.65791666666667
Australia,New South Wales,1916,16.862333333333336
Australia,New South Wales,1917,16.44175
Australia,New South Wales,1918,16.952083333333334
Australia,New South Wales,1919,18.121666666666666
Australia,New South Wales,1920,16.897583333333333
